,Date,Percent Change
0,1/23/2017,0.067
1,1/24/2017,-0.092
2,1/25/2017,1.592
3,1/26/2017,0.049
4,1/27/2017,0.008
5,1/30/2017,-0.262
6,1/31/2017,-0.23
7,2/1/2017,6.098
8,2/2/2017,-0.171
9,2/3/2017,0.428
10,2/6/2017,0.937
11,2/7/2017,0.952
12,2/8/2017,0.388
13,2/9/2017,0.723
14,2/10/2017,-0.227
15,2/13/2017,0.886
16,2/14/2017,1.298
17,2/15/2017,0.363
18,2/16/2017,-0.122
19,2/17/2017,0.277
20,2/21/2017,0.722
21,2/22/2017,0.3
22,2/23/2017,-0.423
23,2/24/2017,0.095
24,2/27/2017,0.198
25,2/28/2017,0.044
26,3/1/2017,2.044
27,3/2/2017,-0.594
28,3/3/2017,0.59
29,3/6/2017,-0.315
30,3/7/2017,0.129
31,3/8/2017,-0.373
32,3/9/2017,-0.23
33,3/10/2017,0.332
34,3/13/2017,0.043
35,3/14/2017,-0.151
36,3/15/2017,1.058
37,3/16/2017,0.164
38,3/17/2017,-0.498
39,3/20/2017,1.05
40,3/21/2017,-1.145
41,3/22/2017,1.13
42,3/23/2017,-0.354
43,3/24/2017,-0.199
44,3/27/2017,0.171
45,3/28/2017,2.073
46,3/29/2017,0.223
47,3/30/2017,-0.132
48,3/31/2017,-0.188
49,4/3/2017,0.028
50,4/4/2017,0.745
51,4/5/2017,-0.518
52,4/6/2017,-0.25
53,4/7/2017,-0.223
54,4/10/2017,-0.119
55,4/11/2017,-1.076
56,4/12/2017,0.12
57,4/13/2017,-0.529
58,4/17/2017,0.553
59,4/18/2017,-0.444
60,4/19/2017,-0.368
61,4/20/2017,1.251
62,4/21/2017,-0.119
63,4/24/2017,0.963
64,4/25/2017,0.62
65,4/26/2017,-0.588
66,4/27/2017,0.077
67,4/28/2017,-0.097
68,5/1/2017,2.04
69,5/2/2017,0.634
70,5/3/2017,-0.305
71,5/4/2017,-0.36
72,5/5/2017,1.658
73,5/8/2017,2.719
74,5/9/2017,0.64
75,5/10/2017,-0.474
