,Date,Company,Num_aticles,Neg_news_percent,Pos_news_percent,Neut_article_percent,COD_Price,Avr_sentiment,Positive
0,2018-12-20,Amazon,100,-41,59,0,-2.523,2.9100986042385917,True
1,2018-12-21,Amazon,100,-32,68,0,-3.89,3.9022533775323383,True
2,2018-12-24,Amazon,100,-34,62,4,-2.5869999999999997,2.4181670615291977,True
3,2018-12-26,Amazon,100,-48,52,0,7.042000000000001,2.1547260304763,True
4,2018-12-27,Amazon,100,-46,53,1,-0.649,-0.08137383210738452,False
5,2018-12-28,Amazon,100,-35,63,2,0.051,4.686273756312945,True
6,2018-12-31,Amazon,100,-35,65,0,0.9670000000000001,4.6902209695800225,True
7,2019-01-02,Amazon,100,-33,66,1,0.114,6.189165514805311,True
8,2019-01-03,Amazon,100,-24,75,1,-9.961,5.134774216036018,True
9,2019-01-04,Amazon,100,-28,71,0,4.269,3.588697148473396,True
10,2019-01-07,Amazon,100,-36,61,3,-0.223,3.4248409818892918,True
11,2019-01-08,Amazon,100,-37,56,6,1.906,1.0620930175731589,True
12,2019-01-09,Amazon,100,-26,72,2,1.6980000000000002,3.426801637772125,True
13,2019-01-10,Amazon,100,-31,69,0,0.32,2.2994964080215996,True
14,2019-01-11,Amazon,96,-31,68,0,-0.982,3.457944310963184,True
15,2019-01-14,Amazon,100,-28,70,2,-1.504,4.073734814873631,True
16,2019-01-15,Amazon,100,-27,73,0,2.0469999999999997,4.908525282014287,True
17,2019-01-16,Amazon,100,-21,79,0,1.222,5.178518052906957,True
18,2019-01-17,Amazon,100,-47,53,0,0.594,0.959546641134486,True
19,2019-01-18,Amazon,100,-31,69,0,0.616,1.6150610770562832,True
20,2018-12-20,Apple,75,-65,32,2,-2.291,-6.871510407743504,False
21,2018-12-21,Apple,56,-44,55,0,-5.707999999999999,0.3328518321379586,True
22,2018-12-24,Apple,22,-54,45,0,-2.431,2.63668178674411,True
23,2018-12-26,Apple,22,-36,63,0,9.445,6.306691323161274,True
24,2018-12-27,Apple,46,-45,54,0,-0.63,0.1202938143656158,True
