Date,COD_Price
1/23/17,0.067
1/24/17,-0.092
1/25/17,1.592
1/26/17,0.049
1/27/17,0.008
1/30/17,-0.262
1/31/17,-0.23
2/1/17,6.098
2/2/17,-0.171
2/3/17,0.428
2/6/17,0.937
2/7/17,0.952
2/8/17,0.388
2/9/17,0.723
2/10/17,-0.227
2/13/17,0.886
2/14/17,1.298
2/15/17,0.363
2/16/17,-0.122
2/17/17,0.277
2/21/17,0.722
2/22/17,0.3
2/23/17,-0.423
2/24/17,0.095
2/27/17,0.198
2/28/17,0.044
3/1/17,2.044
3/2/17,-0.594
3/3/17,0.59
3/6/17,-0.315
3/7/17,0.129
3/8/17,-0.373
3/9/17,-0.23
3/10/17,0.332
3/13/17,0.043
3/14/17,-0.151
3/15/17,1.058
3/16/17,0.164
3/17/17,-0.498
3/20/17,1.05
3/21/17,-1.145
3/22/17,1.13
3/23/17,-0.354
3/24/17,-0.199
3/27/17,0.171
3/28/17,2.073
3/29/17,0.223
3/30/17,-0.132
3/31/17,-0.188
4/3/17,0.028
4/4/17,0.745
4/5/17,-0.518
4/6/17,-0.25
4/7/17,-0.223
4/10/17,-0.119
4/11/17,-1.076
4/12/17,0.12
4/13/17,-0.529
4/17/17,0.553
4/18/17,-0.444
4/19/17,-0.368
4/20/17,1.251
4/21/17,-0.119
4/24/17,0.963
4/25/17,0.62
4/26/17,-0.588
4/27/17,0.077
4/28/17,-0.097
5/1/17,2.04
5/2/17,0.634
5/3/17,-0.305
5/4/17,-0.36
5/5/17,1.658
5/8/17,2.719
5/9/17,0.64
5/10/17,-0.474
5/11/17,0.865
5/12/17,1.397
5/15/17,-0.256
5/16/17,-0.148
5/17/17,-3.358
5/18/17,1.524
5/19/17,0.341
5/22/17,0.608
5/23/17,-0.123
5/24/17,-0.299
5/25/17,0.346
5/26/17,-0.169
5/30/17,0.039
6/1/17,0.275
6/2/17,1.482
6/5/17,-0.978
6/6/17,0.338
6/7/17,0.596
6/8/17,-0.245
6/9/17,-3.878
6/12/17,-2.39
6/13/17,0.805
6/14/17,-0.976
6/15/17,-0.599
6/16/17,-1.4
6/19/17,2.861
6/20/17,-0.909
6/21/17,0.593
6/22/17,-0.165
6/23/17,0.446
6/26/17,-0.314
6/27/17,-1.433
6/28/17,1.461
6/29/17,-1.474
6/30/17,0.237
7/3/17,-0.361
7/5/17,0.411
7/6/17,-0.944
7/7/17,1.016
7/10/17,0.61
7/11/17,0.324
7/12/17,0.144
7/13/17,1.393
7/14/17,0.859
7/17/17,0.349
7/18/17,0.348
7/19/17,0.626
7/20/17,-0.45
7/21/17,-0.047
7/24/17,1.211
7/25/17,0.427
7/26/17,0.471
7/27/17,-1.89
7/28/17,-0.704
7/31/17,-0.515
8/1/17,6.629
8/2/17,-0.914
8/3/17,-0.999
8/4/17,0.527
8/7/17,1.547
8/8/17,0.8
8/9/17,0.612
8/10/17,-3.185
8/11/17,1.391
8/14/17,1.505
8/15/17,1.095
8/16/17,-0.402
8/17/17,-1.92
8/18/17,-0.228
8/21/17,-0.184
8/22/17,1.635
8/23/17,0.125
8/24/17,-0.444
8/25/17,0.37
8/28/17,1.007
8/30/17,0.27
8/31/17,0.398
9/1/17,0.03
9/5/17,-1.201
9/6/17,-0.105
9/7/17,-0.401
9/8/17,-1.631
9/11/17,1.809
9/12/17,-0.396
9/13/17,-0.752
9/14/17,-0.858
9/15/17,1.011
9/18/17,-0.757
9/19/17,0.038
9/20/17,-1.676
9/21/17,-1.717
9/22/17,-0.978
9/25/17,-0.882
9/26/17,1.72
9/27/17,0.712
9/28/17,-0.616
9/29/17,0.548
10/2/17,-0.201
10/3/17,0.436
10/4/17,-0.647
10/5/17,1.244
10/6/17,-0.058
10/9/17,0.348
10/10/17,0.039
10/11/17,0.417
10/12/17,-0.351
10/13/17,0.635
10/16/17,1.841
10/17/17,0.369
10/18/17,-0.442
10/19/17,-2.366
10/20/17,0.173
10/23/17,-0.051
10/24/17,0.596
10/25/17,-0.439
10/26/17,0.639
10/27/17,3.583
10/30/17,2.251
10/31/17,1.392
11/1/17,-1.272
11/2/17,0.731
11/3/17,2.611
11/6/17,1.014
11/7/17,0.321
11/8/17,0.818
11/9/17,-0.204
11/10/17,-0.331
11/13/17,-0.401
11/14/17,-1.512
11/15/17,-1.319
11/16/17,1.195
11/17/17,-0.555
11/20/17,-0.1
11/21/17,1.859
11/22/17,1.051
11/24/17,0.006
11/27/17,-0.503
11/28/17,-0.586
11/29/17,-2.074
11/30/17,1.398
12/1/17,-0.466
12/4/17,-0.731
12/5/17,-0.094
12/6/17,-0.371
12/7/17,0.183
12/8/17,0.03
12/11/17,1.948
12/12/17,-0.562
12/13/17,0.332
12/14/17,-0.029
12/15/17,1.016
12/18/17,1.408
12/19/17,-1.066
12/20/17,-0.109
12/21/17,0.379
12/22/17,0
12/26/17,-2.537
12/27/17,0.018
12/28/17,0.281
12/29/17,-1.081
1/2/18,1.79
1/3/18,-0.017
1/4/18,0.464
1/5/18,1.139
1/8/18,-0.371
1/9/18,-0.011
1/10/18,-0.023
1/11/18,0.568
1/12/18,1.033
1/16/18,-0.508
1/17/18,1.652
1/18/18,0.089
1/19/18,-0.446
1/22/18,-0.818
1/23/18,0.023
1/24/18,-1.593
1/25/18,-1.785
1/26/18,0.234
1/29/18,-2.07
1/30/18,-0.589
1/31/18,0.275
2/1/18,0.209
2/2/18,-4.339
2/5/18,-2.498
2/6/18,4.179
2/7/18,-2.141
2/8/18,-2.752
2/9/18,1.223
2/12/18,4.028
2/13/18,1.002
2/14/18,1.844
2/15/18,3.358
2/16/18,-0.324
2/20/18,-0.336
2/21/18,-0.454
2/22/18,0.836
2/23/18,1.739
2/26/18,1.977
2/27/18,-0.324
2/28/18,-0.151
3/1/18,-1.752
3/2/18,0.691
3/5/18,0.346
3/6/18,-0.085
3/7/18,-0.928
3/8/18,1.091
3/9/18,1.718
3/12/18,0.967
3/13/18,-0.963
3/14/18,-0.85
3/15/18,0.118
3/16/18,-0.353
3/19/18,-1.528
3/20/18,-0.034
3/21/18,-2.265
3/22/18,-1.413
3/23/18,-2.316
3/26/18,4.747
3/27/18,-2.564
3/28/18,-1.105
3/29/18,0.781
4/2/18,-0.656
4/3/18,1.026
4/4/18,1.912
4/5/18,0.693
4/6/18,-2.558
4/9/18,0.992
4/10/18,1.882
4/11/18,-0.468
4/12/18,0.986
4/13/18,0.339
4/16/18,0.624
4/17/18,1.376
4/18/18,-0.224
4/19/18,-2.834
4/20/18,-4.097
4/23/18,-0.29
4/24/18,-1.392
4/25/18,0.436
4/26/18,0.348
4/27/18,-1.157
4/30/18,1.811
5/1/18,2.324
5/2/18,4.418
5/3/18,0.181
5/4/18,3.923
5/7/18,0.723
5/8/18,0.481
5/9/18,0.704
5/10/18,1.43
5/11/18,-0.38
5/14/18,-0.233
5/15/18,-0.909
5/16/18,0.933
5/17/18,-0.632
5/18/18,-0.364
5/21/18,0.708
5/22/18,-0.25
5/23/18,0.641
5/24/18,-0.111
5/25/18,0.229
5/29/18,-0.361
5/30/18,-0.213
5/31/18,-0.336
6/1/18,1.803
6/4/18,0.836
6/5/18,0.772
6/6/18,0.347
6/7/18,-0.268
6/8/18,-0.91
6/11/18,-0.245
6/12/18,0.549
6/13/18,-0.822
6/14/18,0.052
6/15/18,-1.027
6/18/18,-0.053
6/19/18,-1.616
6/20/18,0.436
6/21/18,-0.558
6/22/18,-0.291
6/25/18,-1.487
6/26/18,1.241
6/27/18,-0.146
6/28/18,0.728
6/29/18,-0.21
7/2/18,1.118
7/3/18,-1.742
7/5/18,0.805
7/6/18,1.386
7/9/18,1.389
7/10/18,-0.121
7/11/18,-1.298
7/12/18,1.677
7/13/18,0.157
7/16/18,-0.22
7/17/18,0.283
7/18/18,-0.548
7/19/18,0.777
7/20/18,-0.229
7/23/18,0.089
7/24/18,0.725
7/25/18,0.943
7/26/18,-0.313
7/27/18,-1.663
7/30/18,-0.56
7/31/18,0.2
8/1/18,5.891
8/2/18,2.923
8/3/18,0.289
8/6/18,0.519
8/7/18,-0.937
8/8/18,0.068
8/9/18,0.786
8/10/18,-0.298
8/13/18,0.646
8/14/18,0.421
8/15/18,0.234
8/16/18,1.465
8/17/18,1.997
8/20/18,-0.974
8/21/18,-0.195
8/22/18,0.005
8/23/18,0.205
8/24/18,0.311
8/27/18,0.823
8/28/18,0.808
8/29/18,1.493
8/30/18,0.919
8/31/18,1.155
9/4/18,0.321
9/5/18,-0.652
9/6/18,-1.662
9/7/18,-0.807
9/10/18,-1.342
9/11/18,2.528
9/12/18,-1.242
9/13/18,2.416
9/14/18,-1.135
9/17/18,-2.663
9/18/18,0.165
9/19/18,0.06
9/20/18,0.76
9/21/18,-1.077
9/24/18,1.438
9/25/18,0.634
9/26/18,-0.797
9/27/18,2.055
9/28/18,0.351
10/1/18,0.673
10/2/18,0.889
10/3/18,1.217
10/4/18,-1.758
10/5/18,-1.623
10/8/18,-0.232
10/9/18,1.385
10/10/18,-4.633
10/11/18,-0.883
10/12/18,3.572
10/15/18,-2.139
10/16/18,2.204
10/17/18,-0.432
10/18/18,-2.337
10/19/18,1.523
10/22/18,0.611
10/23/18,0.943
10/24/18,-3.43
10/25/18,2.19
10/26/18,-1.592
10/29/18,-1.877
10/30/18,0.499
10/31/18,2.607
11/1/18,1.535
11/2/18,-6.633
11/5/18,-2.839
11/6/18,1.081
11/7/18,3.033
11/8/18,-0.349
11/9/18,-1.928
11/12/18,-5.037
11/13/18,-0.999
11/14/18,-2.825
11/15/18,2.468
11/16/18,1.108
11/19/18,-3.963
11/20/18,-4.778
11/21/18,-0.113
11/23/18,-2.54
11/26/18,1.352
11/27/18,-0.218
11/28/18,3.845
11/29/18,-0.768
11/30/18,-0.54
12/3/18,3.494
12/4/18,-4.399
12/6/18,-1.115
12/7/18,-3.566
12/10/18,0.659
12/11/18,-0.572
12/12/18,0.279
12/13/18,1.094
12/14/18,-3.2
12/17/18,-0.931
12/18/18,1.299
12/19/18,-3.119
12/20/18,-2.523
12/21/18,-3.89
12/24/18,-2.587
12/26/18,7.042
12/27/18,-0.649
12/28/18,0.051
12/31/18,0.967
1/2/19,0.114
1/3/19,-9.961
1/4/19,4.269
1/7/19,-0.223
1/8/19,1.906
1/9/19,1.698
1/10/19,0.32
1/11/19,-0.982
1/14/19,-1.504
1/15/19,2.047
1/16/19,1.222
1/17/19,0.594
1/18/19,0.616
